year,id
1906,19061
1906.1,
1908,19081
1922,19221
1928,19281
1929,19291
1930,19301
1931,19311
1932,19321
1933,19331
1934,19341
1935,19351
1936,19361
1937,19371
1938,19381
1939,19391
1940,19401
1942,19421
1947,19471
1955,19551
1967,19671
1992,19921
1999,19991
2007,20071
2012,20121
2013,20131
2014,20141
2016,20161
2019,20191
2023,20231
2024,20241
2029,20291
2030,20301
2031,20311
2032,20321
2033,20331
2034,20341
2035,20351
2036,20361
2037,20371
2038,20381
2039,20391
2040,20401
2041,20411
2042,20421
2043,20431
2044,20441
2045,20451
2046,20461
2047,20471
2048,20481
2049,20491
2050,20501
